ORF	predicted_protein	Full_Seq_E-value	Coverage	Location
_58	GT41.hmm	2.1e-07	7.819529	NODE_1_length_600863_cov_7.819529_58
_60	GT41.hmm	2.8e-09	7.819529	NODE_1_length_600863_cov_7.819529_60
_66	GH105.hmm	1.4e-114	7.819529	NODE_1_length_600863_cov_7.819529_66
_67	CE8.hmm	8.4e-104	7.819529	NODE_1_length_600863_cov_7.819529_67
_68	GT2_Glycos_transf_2.hmm	2.1e-10	7.819529	NODE_1_length_600863_cov_7.819529_68
_84	GT2_Glycos_transf_2.hmm	3.7e-19	7.819529	NODE_1_length_600863_cov_7.819529_84
_90	GH29.hmm	2e-50	7.819529	NODE_1_length_600863_cov_7.819529_90
_91	GH29.hmm	1.7e-37	7.819529	NODE_1_length_600863_cov_7.819529_91
_93	PL9.hmm	2.3e-108	7.819529	NODE_1_length_600863_cov_7.819529_93
_94	AA6.hmm	1.5e-09	7.819529	NODE_1_length_600863_cov_7.819529_94
_108	GH5_21.hmm	1.7e-116	7.819529	NODE_1_length_600863_cov_7.819529_108
_113	CE11.hmm	9.7e-93	7.819529	NODE_1_length_600863_cov_7.819529_113
_125	GH28.hmm	1.2e-84	7.819529	NODE_1_length_600863_cov_7.819529_125
_152	CE7.hmm	9.2e-10	7.819529	NODE_1_length_600863_cov_7.819529_152
_153	CE1.hmm	3.3e-17	7.819529	NODE_1_length_600863_cov_7.819529_153
_166	GT2_Glycos_transf_2.hmm	2.9e-15	7.819529	NODE_1_length_600863_cov_7.819529_166
_167	GT26.hmm	1.1e-53	7.819529	NODE_1_length_600863_cov_7.819529_167
_172	CE12.hmm	1.3e-13	7.819529	NODE_1_length_600863_cov_7.819529_172
_179	GT41.hmm	3.3e-09	7.819529	NODE_1_length_600863_cov_7.819529_179
_187	GH35.hmm	8.9e-117	7.819529	NODE_1_length_600863_cov_7.819529_187
_188	GH95.hmm	2.9e-264	7.819529	NODE_1_length_600863_cov_7.819529_188
_189	GH43_10.hmm	2e-109	7.819529	NODE_1_length_600863_cov_7.819529_189
_212	GH51.hmm	4.1e-100	7.819529	NODE_1_length_600863_cov_7.819529_212
_214	GH13_8.hmm	8.8e-149	7.819529	NODE_1_length_600863_cov_7.819529_214
_216	CBM50.hmm	2.2e-14	7.819529	NODE_1_length_600863_cov_7.819529_216
_229	GH23.hmm	7.3e-26	7.819529	NODE_1_length_600863_cov_7.819529_229
_232	CBM50.hmm	2.7e-08	7.819529	NODE_1_length_600863_cov_7.819529_232
_243	GT102.hmm	1.1e-06	7.819529	NODE_1_length_600863_cov_7.819529_243
_244	GT2_Glycos_transf_2.hmm	2.2e-29	7.819529	NODE_1_length_600863_cov_7.819529_244
_263	GT83.hmm	4e-58	7.819529	NODE_1_length_600863_cov_7.819529_263
